7	4	
1	8	
7	12	
1	14	
6	10	
5	1	
1	12	
9	5	
0	11	
8	8	
0	2	
7	10	
7	10	
2	11	
7	14	
0	8	
0	9	
7	6	
7	8	
8	8	
8	5	
7	11	
0	14	
5	14	
4	13	
0	9	
4	11	
4	14	
5	5	
5	8	
7	4	
7	9	
5	6	
8	6	
7	11	
0	4	
6	10	
8	14	
6	9	
0	11	
1	4	
6	10	
4	14	
2	10	
3	10	
7	1	
3	10	
1	7	
5	13	
2	13	
4	8	
7	5	
6	6	
2	6	
1	13	
0	3	
8	9	
9	10	
2	8	
3	10	
1	1	
5	6	
3	10	
3	14	
7	12	
7	1	
8	10	
6	7	
8	8	
7	9	
3	7	
6	8	
8	5	
1	7	
0	10	
3	1	
2	6	
1	7	
6	6	
3	5	
5	7	
2	7	
1	7	
9	14	
4	11	
4	6	
8	14	
5	13	
5	13	
8	12	
1	7	
9	11	
5	12	
4	11	
6	10	
3	7	
3	11	
4	5	
1	9	
7	7	
6	7	
7	5	
7	6	
9	14	
9	10	
4	7	
5	8	
6	9	
2	7	
4	11	
0	5	
6	14	
7	5	
3	5	
5	14	
5	8	
4	11	
7	9	
6	13	
8	10	
2	3	
3	5	
3	12	
3	5	
3	14	
2	8	
4	11	
7	7	
7	14	
3	12	
2	9	
1	6	
4	9	
5	9	
0	7	
7	2	
1	5	
3	12	
3	12	
5	6	
5	3	
6	8	
6	13	
0	14	
8	9	
9	9	
1	14	
0	10	
5	11	
1	13	
4	2	
9	14	
2	12	
5	8	
1	9	
5	4	
4	9	
1	8	
5	5	
2	9	
5	5	
2	12	
2	10	
9	8	
1	11	
7	3	
7	7	
4	5	
9	12	
3	10	
1	1	
4	13	
2	13	
9	14	
1	6	
2	1	
7	9	
1	11	
2	12	
5	13	
8	1	
3	12	
0	13	
4	12	
7	11	
7	9	
3	8	
5	6	
3	8	
0	12	
1	8	
0	9	
0	12	
2	10	
0	8	
0	3	
6	10	
8	5	
4	10	
3	10	
4	10	
4	5	
4	10	
4	8	
8	11	
9	1	
8	10	
2	13	
6	14	
4	11	
6	6	
1	9	
5	14	
7	12	
4	9	
7	3	
7	9	
3	9	
8	12	
5	11	
7	8	
2	9	
7	5	
6	5	
7	11	
5	8	
4	8	
5	14	
3	10	
4	12	
1	5	
4	12	
6	13	
7	12	
0	8	
8	4	
5	10	
5	13	
5	10	
6	10	
3	2	
3	10	
8	14	
7	13	
7	6	
5	4	
7	11	
7	5	
1	14	
9	14	
